"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","UnitedHealth","UNH","515620503552","551.24","United States"
"2","Elevance Health","ELV","130476548096","543.65","United States"
"3","CVS Health","CVS","123655454720","94.19","United States"
"4","HCA Healthcare","HCA","64196009984","223.66","United States"
"5","McKesson","MCK","56733106176","394.72","United States"
"6","Siemens Healthineers","SHL.DE","51993694909","46.31","Germany"
"7","Centene","CNC","48585105408","85.8","United States"
"8","AmerisourceBergen","ABC","33018271744","159.31","United States"
"9","Baxter","BAX","27698606080","55","United States"
"10","AIER Eye Hospital","300015.SZ","25063757278","3.49","China"
"11","Molina Healthcare","MOH","20596449280","354.5","United States"
"12","Cardinal Health","CAH","20211681280","77.14","United States"
"13","M3, Inc","2413.T","19986227277","29.44","Japan"
"14","PerkinElmer","PKI","17158890496","135.94","United States"
"15","JD Health","6618.HK","17073755734","5.38","China"
"16","Bangkok Dusit Medical Services (BDMS)","BDMS.BK","12461439262","0.78","Thailand"
"17","Fresenius","FRE.DE","12439038469","22.08","Germany"
"18","Rede D'Or Sao Luiz","RDOR3.SA","11331503293","5.74","Brazil"
"19","Sysmex","6869.T","11124196908","53.17","Japan"
"20","IHH Healthcare","Q0F.SI","11049688110","1.25","Malaysia"
"21","Bio-Rad Laboratories","BIO","10548963328","354.3","United States"
"22","Hapvida","HAPV3.SA","9663876203","1.36","Brazil"
"23","Henry Schein","HSIC","9545745408","70.13","United States"
"24","Signify Health","SGFY","8553987072","29.25","United States"
"25","Universal Health Services","UHS","8538797568","117.02","United States"
"26","Ramsay Health Care","RHC.AX","8497933792","37.13","Australia"
"27","Agilon Health","AGL","8268032512","20.12","United States"
"28","Apollo Hospitals","APOLLOHOSP.NS","7982229292","55.52","India"
"29","Fresenius Medical Care","FMS","7734380032","13.18","Germany"
"30","Masimo","MASI","7040622592","134.03","United States"
"31","Chemed","CHE","6885020160","461.93","United States"
"32","Fisher & Paykel Healthcare","FPH.NZ","6517246570","11.28","New Zealand"
