Date,Price,% Growth
1983-04-06,4.8905,0.00%
1983-04-07,4.9675,1.57%
1983-04-08,5.1506,5.32%
1983-04-11,5.2546,7.45%
1983-04-12,5.2546,7.45%
1983-04-13,5.1776,5.87%
1983-04-14,5.3587,9.57%
1983-04-15,5.3587,9.57%
1983-04-18,5.3587,9.57%
1983-04-19,5.2276,6.89%
1983-04-20,5.2276,6.89%
1983-04-21,5.0986,4.26%
1983-04-22,5.0465,3.19%
1983-04-25,5.2026,6.38%
1983-04-26,5.4357,11.15%
1983-04-27,5.4357,11.15%
1983-04-28,5.4898,12.25%
1983-04-29,5.6459,15.45%
1983-05-02,5.5148,12.77%
1983-05-03,5.5397,13.27%
1983-05-04,5.5918,14.34%
1983-05-05,5.2026,6.38%
1983-05-06,5.4627,11.70%
1983-05-09,5.3857,10.13%
1983-05-10,5.4627,11.70%
1983-05-11,5.5397,13.27%
1983-05-12,5.5148,12.77%
1983-05-13,5.5397,13.27%
1983-05-16,5.6188,14.89%
1983-05-17,5.6708,15.96%
1983-05-18,5.6188,14.89%
1983-05-19,5.5148,12.77%
1983-05-20,5.5397,13.27%
1983-05-23,5.7749,18.08%
1983-05-24,5.7229,17.02%
1983-05-25,5.7478,17.53%
1983-05-26,5.6459,15.45%
1983-05-27,5.6188,14.89%
1983-05-31,5.5397,13.27%
1983-06-01,5.5397,13.27%
1983-06-02,5.4627,11.70%
1983-06-03,5.4898,12.25%
1983-06-06,5.4107,10.64%
1983-06-07,5.2546,7.45%
1983-06-08,5.3337,9.06%
1983-06-09,5.3337,9.06%
1983-06-10,5.4357,11.15%
1983-06-13,5.4627,11.70%
1983-06-14,5.6459,15.45%
1983-06-15,5.8789,20.21%
1983-06-16,6.0101,22.89%
1983-06-17,6.035,23.40%
1983-06-20,6.06,23.91%
1983-06-21,6.2952,28.72%
1983-06-22,6.2431,27.66%
1983-06-23,6.3472,29.79%
1983-06-24,6.1641,26.04%
1983-06-27,6.0101,22.89%
1983-06-28,5.8519,19.66%
1983-06-29,5.983,22.34%
1983-06-30,6.1141,25.02%
1983-07-01,6.2161,27.11%
1983-07-05,6.1641,26.04%
1983-07-06,6.4263,31.40%
1983-07-07,6.2952,28.72%
1983-07-08,6.2431,27.66%
1983-07-11,6.3992,30.85%
1983-07-12,6.2161,27.11%
1983-07-13,6.1141,25.02%
1983-07-14,6.0871,24.47%
1983-07-15,5.983,22.34%
1983-07-18,6.0871,24.47%
1983-07-19,6.2952,28.72%
1983-07-20,6.5553,34.04%
1983-07-21,6.4263,31.40%
1983-07-22,6.3992,30.85%
1983-07-25,6.3992,30.85%
1983-07-26,6.4263,31.40%
1983-07-27,6.3222,29.28%
1983-07-28,6.2161,27.11%
1983-07-29,6.2431,27.66%
1983-08-01,6.1141,25.02%
1983-08-02,6.0871,24.47%
1983-08-03,6.1641,26.04%
1983-08-04,6.035,23.40%
1983-08-05,6.3222,29.28%
1983-08-08,6.4263,31.40%
1983-08-09,6.3992,30.85%
1983-08-10,6.4512,31.91%
1983-08-11,6.6843,36.68%
1983-08-12,7.2067,47.36%
1983-08-15,6.9465,42.04%
1983-08-16,7.1005,45.19%
1983-08-17,7.1276,45.74%
1983-08-18,6.9965,43.06%
1983-08-19,7.0506,44.17%
1983-08-22,7.0506,44.17%
1983-08-23,6.8404,39.87%
1983-08-24,6.6593,36.17%
1983-08-25,6.7114,37.23%
1983-08-26,6.8404,39.87%
1983-08-29,6.7884,38.81%
1983-08-30,6.8674,40.42%
1983-08-31,7.0235,43.62%
1983-09-01,7.0235,43.62%
1983-09-02,7.1276,45.74%
1983-09-06,7.1796,46.81%
1983-09-07,7.0235,43.62%
1983-09-08,7.0506,44.17%
1983-09-09,6.9195,41.49%
1983-09-12,6.4512,31.91%
1983-09-13,6.3722,30.30%
1983-09-14,6.4512,31.91%
1983-09-15,6.5823,34.59%
1983-09-16,6.6843,36.68%
1983-09-19,6.7634,38.30%
1983-09-20,6.8674,40.42%
